u925,v925,ws925,wd925
-8.729196288,-0.358665608,8.736561615,87.6471519
-5.764764565,-0.834384229,5.824835408,81.76427933
-12.78332277,-0.771751981,12.8065976,86.54514496
-1.310102849,-7.429962471,7.544581619,10
-3.373090114,-5.930892499,6.822992214,29.628288
-7.003445199,-2.40645876,7.405355388,71.03672997
-6.826577529,-4.269196209,8.05159593,57.97901628
-5.76161613,-0.425318296,5.777293145,85.77812501
-5.727678462,-2.11723768,6.106471646,69.71315531
-7.615295641,-1.779968138,7.820550765,76.84410409
-9.287696007,-3.014664422,9.76470679,72.01724887
-6.923374121,-1.220777655,7.030178326,80
-6.901054431,-1.999979883,7.185017174,73.83799579
-7.899895094,-1.101633484,7.976336179,82.06134784
-9.937858698,-3.224017825,10.44774265,72.02601661
-6.691387772,1.63880519,6.889147463,103.7615766
-5.067365926,2.193487497,5.521737483,113.406118
-2.782289401,5.017493615,5.737279537,150.9908526
-2.97738829,5.81206921,6.530313127,152.8749889
-8.15081076,-2.63267903,8.565437229,72.09975247
-2.445454765,7.971760228,8.338417724,162.9458342
-5.674930771,-1.260285361,5.81318832,77.4789892
-2.805785283,-0.223912107,2.814705613,85.43725334
-5.683120877,4.506341672,7.252928937,128.4121068
-4.973054013,1.239696317,5.125242743,103.9975561
-0.693821815,4.3757916,4.430456053,170.9902349
-1.723013272,4.929817104,5.222247736,160.7350423
-1.465829327,2.932604141,3.278539715,153.4423383
-5.437339893,2.486005268,5.978702811,114.5703454
-3.758220286,1.635968874,4.098855191,113.5236921
-2.762426997,3.521726454,4.475886519,141.8895162
-3.841408629,0.869067849,3.938489454,102.7478123
-5.156852142,2.509977619,5.735251665,115.9534237
-5.763217394,1.590664192,5.978702811,105.4296546
-7.461202375,1.072812219,7.537935191,98.18221896
-6.524108441,3.535098955,7.420304278,118.4511227
-6.470086597,1.231554014,6.586254312,100.7770902
-2.846891302,0.602986102,2.910048509,101.9587994
-7.714248311,-1.20293036,7.807475165,81.13689412
-4.037286682,1.26326481,4.230309886,107.3748732
-2.229846262,0.610919274,2.31202005,105.3215696
-5.840409734,0.691843746,5.881244224,96.75566642
-6.979285662,-4.029492455,8.058984911,60
-6.259054086,2.360766878,6.689467714,110.6652868
-6.800689228,-1.713938115,7.013341417,75.85465392
-6.094331964,2.929974166,6.762072959,115.6768682
-8.512801299,0.819781036,8.552182581,95.5006102
-5.467025311,-1.004069994,5.558464023,79.59307453
-5.792099481,-0.626754927,5.825910928,83.8241342
-6.514615931,2.625582265,7.023809719,111.9508878
-7.616616985,0.107572387,7.61737659,90.80915635
-4.64439837,1.016107566,4.754251866,102.3407994
-5.335349193,0.937326574,5.41705936,99.964174
-4.769925995,2.852345989,5.55770381,120.8788065
-7.364690302,-1.691926101,7.556538704,77.06166444
-8.108712589,3.253496495,8.73707384,111.8623667
-2.348231442,5.668537217,6.135674787,157.4978738
-6.211706185,-0.403219772,6.224779507,86.28597635
-6.109687652,9.602629579,11.38151036,147.5333802
-2.731892594,7.160817954,7.664238443,159.1178639
-7.244072817,-3.804304606,8.182256688,62.29329572
