yyyymmdd,month,winter,year,doy,u850,v850,wd850,ws850,H850,u925,v925,wd925,ws925,H925,u950,v950,wd950,ws950,H950
1980-10-03,10,1980-1981winter,1980,277,-5.4556402216098325,-1.8145864542498766,71.60249158112867,5.749498606625983,1547.0,-5.709066858289351,-1.7927567430503704,72.5667088175617,5.983930241252016,698.0,-5.663314420810853,-1.6335173882617635,73.91040719927926,5.8941928443780744,136.0
1980-10-04,10,1980-1981winter,1980,278,-8.394892662361563,-1.4802460765258625,80.0,8.524397413286305,1560.0,-6.3323543789365235,-1.1165649284139048,80.0,6.4300411522633745,155.0,-6.3323543789365235,-1.1165649284139048,80.0,6.4300411522633745,155.0
1980-10-05,10,1980-1981winter,1980,279,-8.746758439384267,1.388923222045675,99.02282939679498,8.856347492825563,1581.0,-8.764348084086775,1.7023026245525172,100.99172200139378,8.928137071337666,170.0,-8.764348084086775,1.7023026245525172,100.99172200139378,8.928137071337666,170.0
1980-10-06,10,1980-1981winter,1980,280,-2.903112089443139,0.2870396051526935,95.646656993997,2.917267820889457,1552.0,-1.0912141684977585,-1.0912141684977583,45.0,1.5432098765432098,142.0,-1.0912141684977585,-1.0912141684977583,45.0,1.5432098765432098,142.0
1980-10-07,10,1980-1981winter,1980,281,-3.739197627368327,-2.656638888966255,54.60682752472195,4.586864842447921,1549.0,-4.681099335501716,-1.985211600025045,67.01864139861496,5.084658895708601,709.0,-4.914776461357018,-1.5025693641552467,73.00030483563484,5.139332871025861,138.0
1980-10-08,10,1980-1981winter,1980,282,,,,,1488.0,-0.5278088631568959,-1.450142933311587,20.0,1.5432098765432098,7.0,-0.5278088631568959,-1.450142933311587,20.0,1.5432098765432098,7.0
1980-10-09,10,1980-1981winter,1980,283,-6.551002776403981,-2.4632470383548957,69.39320303645755,6.998801565155054,1550.0,-5.135414151057899,-3.3953579698929146,56.52870323065588,6.15637346549095,433.0,-5.135414151057899,-3.3953579698929146,56.52870323065588,6.15637346549095,433.0
1980-10-15,10,1980-1981winter,1980,289,0.9092429976733527,-2.223355624910358,337.7578548809508,2.402089312169419,1556.0,-2.4133017582851233,-3.6419628473225547,33.529954593274226,4.368972277071563,163.0,-2.4133017582851233,-3.6419628473225547,33.529954593274226,4.368972277071563,163.0
1980-10-16,10,1980-1981winter,1980,290,-1.0358207113181226,-2.036264050720689,26.961841171434912,2.284577823199072,1547.0,-2.2034207200297167,-1.9530081026906128,48.447734881352005,2.9443681017548506,739.0,-2.6529424045188046,-1.5308890258929404,60.012765274367524,3.0629601060564684,146.0
1980-10-17,10,1980-1981winter,1980,291,-0.7993153497186488,2.0066269099344307,158.28073841841825,2.1599668015895173,1556.0,-1.303954317686498,1.324600279072783,135.4500199948941,1.8587261126731274,614.0,-1.2368048002556387,0.9207512769488844,126.66619627955163,1.541904351099118,146.0
1980-11-10,11,1980-1981winter,1980,315,-4.377796967665143,-2.2443498543642018,62.857305533796705,4.9195744286353404,1564.0,-3.9756300858098332,-2.357009305901177,59.33781006149107,4.621809975247906,303.0,-3.9756300858098332,-2.357009305901177,59.33781006149107,4.621809975247906,303.0
1980-11-11,11,1980-1981winter,1980,316,-6.716866831086275,-2.987538290895097,66.02138531579908,7.351304990687801,1581.0,-4.90429157160627,-4.08414479498961,50.21349715135824,6.3821872838211995,185.0,-4.90429157160627,-4.08414479498961,50.21349715135824,6.3821872838211995,185.0
1980-11-14,11,1980-1981winter,1980,319,-6.598376066283896,-1.656583217798028,75.90665131268707,6.803148878982306,1551.0,-7.634096851833725,-2.277623811833751,73.3875891636394,7.966618164027299,167.0,-7.634096851833725,-2.277623811833751,73.3875891636394,7.966618164027299,167.0
1980-11-15,11,1980-1981winter,1980,320,-8.814803745341312,-1.4755113997353302,80.49734983047296,8.937443647913655,1560.0,-7.041941048585634,-4.684529659526357,56.36684914765226,8.45776281665178,157.0,-7.041941048585634,-4.684529659526357,56.36684914765226,8.45776281665178,157.0
1980-11-26,11,1980-1981winter,1980,331,-1.854115330633124,-3.010360012049952,31.629393031146293,3.535535470255979,1546.0,-6.042262222131614,-2.199203596487067,70.0,6.430041152263375,169.0,-6.042262222131614,-2.199203596487067,70.0,6.430041152263375,169.0
1980-11-29,11,1980-1981winter,1980,334,-4.3777425757031985,-4.016833544342199,47.461808349795206,5.941345115550618,1548.0,-2.836952188506855,-4.2860805151112435,33.500533389174734,5.139920612411255,173.0,-2.836952188506855,-4.2860805151112435,33.500533389174734,5.139920612411255,173.0
1980-12-01,12,1980-1981winter,1980,336,-3.562372219351917,4.54547592320709,141.91355482732837,5.775105817010252,1533.0,-3.7798614760267704,5.090666414500334,143.40581133408284,6.340523426474581,236.0,-3.7798614760267704,5.090666414500334,143.40581133408284,6.340523426474581,236.0
1980-12-03,12,1980-1981winter,1980,338,-1.3594960320836111,-5.725712267289985,13.35680233485607,5.884896807000621,1543.0,-3.343621399176958,-5.791322144649023,30.00000000000003,6.6872427983539104,172.0,-3.343621399176958,-5.791322144649023,30.00000000000003,6.6872427983539104,172.0
1980-12-10,12,1980-1981winter,1980,345,1.584980780017179,-4.805860783385307,341.74735960061025,5.060480406276137,1521.0,-0.46978353435046455,-5.769769455870043,4.654842545979534,5.788863113171507,482.0,-0.46978353435046455,-5.769769455870043,4.654842545979534,5.788863113171507,482.0
1980-12-11,12,1980-1981winter,1980,346,-1.3487603243979325,-5.4843577224428035,13.8164810755855,5.64777248482869,1529.0,-1.0574271268652982,-3.25348301519605,18.004880711491296,3.4210091871843575,214.0,-1.0574271268652982,-3.25348301519605,18.004880711491296,3.4210091871843575,214.0
1980-12-13,12,1980-1981winter,1980,348,-3.7782358106553167,-6.953599137033363,28.517430654500288,7.913760597811218,1547.0,-3.2741700803619875,-7.169834670724929,24.544239873752645,7.882050426168743,314.0,-3.2741700803619875,-7.169834670724929,24.544239873752645,7.882050426168743,314.0
1980-12-22,12,1980-1981winter,1980,357,-5.206585540216285,0.47333895849873975,95.19457079661106,5.228057264149081,1518.0,-6.391908289219182,-1.944780389634007,73.0772699488108,6.681217130261064,149.0,-6.391908289219182,-1.944780389634007,73.0772699488108,6.681217130261064,149.0
1980-12-25,12,1980-1981winter,1980,360,-0.8571671291663048,-1.4250564313227025,31.02678121394959,1.6629856643330998,1521.0,0.25360724059105616,-1.3257028249753795,349.17014867559794,1.3497424245491847,728.0,0.457243246485558,-1.0921526328806104,337.2827721053686,1.1840053884863455,325.0
1980-12-31,12,1980-1981winter,1980,366,-1.9533630176470766,-2.4237747664640614,38.86595618157793,3.112926468334774,1542.0,-2.8943456570964448,-2.6100894094440914,47.95620318963506,3.8974098460445825,312.0,-2.8943456570964448,-2.6100894094440914,47.95620318963506,3.8974098460445825,312.0
1981-01-05,1,1980-1981winter,1981,5,-3.407553464606265,-2.488479628843758,53.859965645213634,4.2194728909332415,1544.0,-4.059801990828507,-2.6168496331841626,57.1951562080356,4.830102918927421,312.0,-4.059801990828507,-2.6168496331841626,57.1951562080356,4.830102918927421,312.0
1981-01-14,1,1980-1981winter,1981,14,,,,,,,,,,,,,,,
1981-01-18,1,1980-1981winter,1981,18,,,,,,,,,,,,,,,
1981-01-20,1,1980-1981winter,1981,20,,,,,,,,,,,,,,,
1981-01-23,1,1980-1981winter,1981,23,,,,,,,,,,,,,,,
1981-02-02,2,1980-1981winter,1981,33,-0.6899607138243384,-4.8963641337740516,8.02090200455018,4.944737355727795,1539.0,-3.381345744521972,-3.148775228473653,47.03972932037772,4.620420379515933,184.0,-3.381345744521972,-3.148775228473653,47.03972932037772,4.620420379515933,184.0
1981-02-08,2,1980-1981winter,1981,39,-0.9906924195422853,-2.1590316060897217,24.648478991867364,2.375476572444551,1525.0,-4.516459798011283,-1.842524378825518,67.80662012050263,4.877838168043143,326.0,-4.516459798011283,-1.842524378825518,67.80662012050263,4.877838168043143,326.0
